FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
66,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/22/2014 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.7,1.1,0.4,Y,19,19,5,2,12,NULL,NULL,NULL,43,1,4,9,13,45,30,N,N,6.2,77,NULL,22.4,16.2,38 14.63120623N 076 45.37819988W,66,153878,0.002324540937770,-76.756947805400003,38.241620021999999
67,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,8/7/2014 0:00:00,2,NULL,NULL,NULL,NULL,NULL,2.5,0,0,Y,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,75,1,3,1,30,0,0,N,N,6.7,86,NULL,24,15.9,38 14.63120623N 076 45.37819988W,67,153878,0.002324540937770,-76.756947805400003,38.241620021999999
68,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/30/2015 0:00:00,1,NULL,NULL,NULL,NULL,NULL,6.5,7.6,4,Y,39,NULL,NULL,NULL,5,NULL,NULL,NULL,45,1,5,8,103,133,34,N,N,7.1,81,NULL,26,18.7,38 14.63120623N 076 45.37819988W,68,153878,0.002324540937770,-76.756947805400003,38.241620021999999
69,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/21/2016 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-99,-99,-99,0,0,0,N,N,NULL,NULL,NULL,21.4,-99,38 14.63120623N 076 45.37819988W,69,153878,0.002324540937770,-76.756947805400003,38.241620021999999
70,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/26/2016 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-99,-99,-99,0,0,0,N,N,NULL,NULL,NULL,31.9,-99,38 14.63120623N 076 45.37819988W,70,153878,0.002324540937770,-76.756947805400003,38.241620021999999
71,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/27/2017 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,27,-99,38 14.63120623N 076 45.37819988W,71,153878,0.002324540937770,-76.756947805400003,38.241620021999999
72,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/5/2005 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.5,0.5,5,Y,12,43,18,3,NULL,16,NULL,NULL,8,0,8,7,35,18,55,N,U,7.14,93,NULL,25.1,17.7,38 14.63120623N 076 45.37819988W,72,153878,0.002324540937770,-76.756947805400003,38.241620021999999
73,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/29/2005 0:00:00,2,NULL,NULL,NULL,NULL,NULL,5,6,2,Y,33,20,21,NULL,4,NULL,NULL,NULL,21,3,9,3,115,82,125,N,U,6.94,60,NULL,21.6,18.1,38 14.63120623N 076 45.37819988W,73,153878,0.002324540937770,-76.756947805400003,38.241620021999999
74,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/13/2006 0:00:00,5,NULL,NULL,NULL,NULL,NULL,2.9,1,1.5,Y,12,11,NULL,40,5,NULL,NULL,NULL,32,NULL,NULL,NULL,51,64,62,N,Y,6.6,55,NULL,20.4,14.3,38 14.63120623N 076 45.37819988W,74,153878,0.002324540937770,-76.756947805400003,38.241620021999999
75,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/17/2006 0:00:00,6,NULL,NULL,NULL,NULL,NULL,3.6,1.1,1.8,Y,NULL,47,17,NULL,NULL,27,NULL,NULL,9,NULL,NULL,NULL,44,14,11,N,Y,7.12,52,NULL,23.8,17.8,38 14.63120623N 076 45.37819988W,75,153878,0.002324540937770,-76.756947805400003,38.241620021999999
76,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/5/2007 0:00:00,7,NULL,NULL,NULL,NULL,NULL,1.5,1,2.5,Y,33,33,6,NULL,5,NULL,NULL,NULL,23,1,7,7,46,49,24,N,Y,7,51,NULL,24.8,17.2,38 14.63120623N 076 45.37819988W,76,153878,0.002324540937770,-76.756947805400003,38.241620021999999
77,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/11/2007 0:00:00,8,NULL,NULL,NULL,NULL,NULL,0,0,3,Y,NULL,NULL,NULL,9,NULL,7,NULL,NULL,84,5,0,0,0,0,40,N,Y,6.09,111,NULL,25.9,19.3,38 14.63120623N 076 45.37819988W,77,153878,0.002324540937770,-76.756947805400003,38.241620021999999
78,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/2/2008 0:00:00,1,NULL,NULL,NULL,NULL,NULL,1,2.5,3,Y,NULL,28,9,3,NULL,NULL,NULL,NULL,36,3,2,10,23,120,31,N,Y,6.08,189,NULL,25.8,15.9,38 14.63120623N 076 45.37819988W,78,153878,0.002324540937770,-76.756947805400003,38.241620021999999
79,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/1/2008 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1,0.5,2,Y,7,4,47,NULL,13,NULL,NULL,NULL,29,4,2,9,58,26,51,N,Y,5.79,52,NULL,23.2,16.4,38 14.63120623N 076 45.37819988W,79,153878,0.002324540937770,-76.756947805400003,38.241620021999999
80,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,1.5,2,2,NULL,8,24,NULL,NULL,15,10,NULL,NULL,41,NULL,1,12,54,26,53,N,Y,6.07,60,NULL,22.6,16.3,38 14.63120623N 076 45.37819988W,80,153878,0.002324540937770,-76.756947805400003,38.241620021999999
81,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/3/2009 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,7.5,Y,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,1,0,0,0,0,81,N,N,5.75,130,NULL,NULL,16.8,38 14.63120623N 076 45.37819988W,81,153878,0.002324540937770,-76.756947805400003,38.241620021999999
82,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/4/2010 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,2,1.8,Y,4,10,20,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,15,0,72,65,N,Y,6,-99,NULL,25.6,19.8,38 14.63120623N 076 45.37819988W,82,153878,0.002324540937770,-76.756947805400003,38.241620021999999
83,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/6/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1.5,3,2,Y,NULL,36,36,11,1,NULL,NULL,NULL,16,NULL,6,9,95,57,98,N,Y,NULL,-99,NULL,32.7,16.9,38 14.63120623N 076 45.37819988W,83,153878,0.002324540937770,-76.756947805400003,38.241620021999999
84,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/22/2011 0:00:00,1,NULL,NULL,NULL,NULL,NULL,1,2,1.5,Y,NULL,37,7,4,36,NULL,NULL,NULL,16,0,8,5,36,57,52,N,N,7.2,67,NULL,NULL,14.1,38 14.63120623N 076 45.37819988W,84,153878,0.002324540937770,-76.756947805400003,38.241620021999999
85,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/27/2011 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0.5,0.5,0.2,Y,13,11,13,NULL,33,NULL,NULL,NULL,16,0,0,15,110,73,21,N,Y,7.6,65,NULL,NULL,18.2,38 14.63120623N 076 45.37819988W,85,153878,0.002324540937770,-76.756947805400003,38.241620021999999
86,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/22/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,1,0,0,Y,8,4,14,10,NULL,50,NULL,NULL,14,1,6,4,132,0,0,N,N,7,67,NULL,26.9,14.9,38 14.63120623N 076 45.37819988W,86,153878,0.002324540937770,-76.756947805400003,38.241620021999999
87,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/25/2012 0:00:00,2,NULL,NULL,NULL,NULL,NULL,2.5,4,4,Y,15,1,3,20,25,NULL,27,NULL,9,2,10,0,28,60,110,N,N,7,68,NULL,27.8,16,38 14.63120623N 076 45.37819988W,87,153878,0.002324540937770,-76.756947805400003,38.241620021999999
88,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/28/2013 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,23.3,NULL,38 14.63120623N 076 45.37819988W,88,153878,0.002324540937770,-76.756947805400003,38.241620021999999
89,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/25/2013 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,N,NULL,NULL,NULL,17.9,NULL,38 14.63120623N 076 45.37819988W,89,153878,0.002324540937770,-76.756947805400003,38.241620021999999
90,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/22/2014 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0.9,3.9,Y,21,21,NULL,40,10,NULL,NULL,NULL,8,2,4,1,0,40,90,N,N,6.2,77,NULL,22.4,16.2,38 14.63120623N 076 45.37819988W,90,153878,0.002324540937770,-76.756947805400003,38.241620021999999
91,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,8/7/2014 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,1,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,2,1,0,0,0,85,N,Y,6.7,86,NULL,24,15.9,38 14.63120623N 076 45.37819988W,91,153878,0.002324540937770,-76.756947805400003,38.241620021999999
92,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/30/2015 0:00:00,1,NULL,NULL,NULL,NULL,NULL,7,2.6,3,Y,34,3,14,NULL,7,NULL,NULL,NULL,39,1,2,12,75,67,20,N,N,7.1,81,NULL,26,18.7,38 14.63120623N 076 45.37819988W,92,153878,0.002324540937770,-76.756947805400003,38.241620021999999
93,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,6/21/2016 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,4.4,Y,19,5,NULL,NULL,NULL,NULL,NULL,NULL,32,1,3,0,0,0,79,N,Y,6.2,76,NULL,21.4,14.6,38 14.63120623N 076 45.37819988W,93,153878,0.002324540937770,-76.756947805400003,38.241620021999999
94,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/26/2016 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,2.1,Y,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,1,2,0,0,0,96,N,N,5.9,71,NULL,31.9,25.7,38 14.63120623N 076 45.37819988W,94,153878,0.002324540937770,-76.756947805400003,38.241620021999999
95,C & O Canal National Historic Park,COST21-4,38.243861099999997,-76.756305499999996,15m,7/27/2017 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,27,-99,38 14.63120623N 076 45.37819988W,95,153878,0.002324540937770,-76.756947805400003,38.241620021999999
96,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/5/2005 0:00:00,1,PRUB,adult,0,0,2,2.5,9,9.5,Y,NULL,8,3,NULL,NULL,NULL,NULL,NULL,81,13,1,1,36,29,15,N,N,7.01,NULL,NULL,23,14.7,38 59.48786420N 077 14.36319218W,96,105405,0.006776661355830,-77.237179899599994,38.985057072099998
97,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/27/2005 0:00:00,2,PRUB,adult,3,NULL,NULL,1,4,1,Y,17,9,NULL,7,NULL,NULL,NULL,NULL,48,2,10,3,49,50,25,N,Y,6.18,53,NULL,26.5,14.7,38 59.48786420N 077 14.36319218W,97,105405,0.006776661355830,-77.237179899599994,38.985057072099998
98,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/27/2005 0:00:00,2,DFUS,adult,1,NULL,NULL,1,4,1,Y,17,9,NULL,7,NULL,NULL,NULL,NULL,48,2,10,3,49,50,25,N,Y,6.18,53,NULL,26.5,14.7,38 59.48786420N 077 14.36319218W,98,105405,0.006776661355830,-77.237179899599994,38.985057072099998
99,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/27/2005 0:00:00,2,RCLA,juvenile,2,NULL,NULL,1,4,1,Y,17,9,NULL,7,NULL,NULL,NULL,NULL,48,2,10,3,49,50,25,N,Y,6.18,53,NULL,26.5,14.7,38 59.48786420N 077 14.36319218W,99,105405,0.006776661355830,-77.237179899599994,38.985057072099998
100,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/27/2005 0:00:00,2,RCLA,adult,1,NULL,NULL,1,4,1,Y,17,9,NULL,7,NULL,NULL,NULL,NULL,48,2,10,3,49,50,25,N,Y,6.18,53,NULL,26.5,14.7,38 59.48786420N 077 14.36319218W,100,105405,0.006776661355830,-77.237179899599994,38.985057072099998
101,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/13/2006 0:00:00,5,PRUB,adult,2,0,0,0,0,1,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,1,0,0,0,50,N,N,4.97,37,NULL,20.7,18.1,38 59.48786420N 077 14.36319218W,101,105405,0.006776661355830,-77.237179899599994,38.985057072099998
102,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/13/2006 0:00:00,5,PRUB,larva,3,1,1,0,0,1,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,1,0,0,0,50,N,N,4.97,37,NULL,20.7,18.1,38 59.48786420N 077 14.36319218W,102,105405,0.006776661355830,-77.237179899599994,38.985057072099998
103,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/17/2006 0:00:00,6,DFUS,adult,1,0,0,0,0,0.5,Y,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,3,1,2,0,0,20,N,N,5.62,34,NULL,22.5,16.5,38 59.48786420N 077 14.36319218W,103,105405,0.006776661355830,-77.237179899599994,38.985057072099998
104,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/17/2006 0:00:00,6,PRUB,adult,1,0,0,0,0,0.5,Y,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,3,1,2,0,0,20,N,N,5.62,34,NULL,22.5,16.5,38 59.48786420N 077 14.36319218W,104,105405,0.006776661355830,-77.237179899599994,38.985057072099998
105,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/17/2006 0:00:00,6,PRUB,larva,1,0,0,0,0,0.5,Y,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,3,1,2,0,0,20,N,N,5.62,34,NULL,22.5,16.5,38 59.48786420N 077 14.36319218W,105,105405,0.006776661355830,-77.237179899599994,38.985057072099998
106,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/5/2007 0:00:00,7,NULL,NULL,NULL,NULL,NULL,0,0,4,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,6,NULL,NULL,0,0,88,N,N,6.93,109,NULL,24.3,14.5,38 59.48786420N 077 14.36319218W,106,105405,0.006776661355830,-77.237179899599994,38.985057072099998
107,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/11/2007 0:00:00,8,NULL,NULL,NULL,NULL,NULL,0,0,0.1,Y,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,99,0,0,5,0,0,25,N,N,5.92,51,NULL,25.6,17.3,38 59.48786420N 077 14.36319218W,107,105405,0.006776661355830,-77.237179899599994,38.985057072099998
108,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/2/2008 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,3,Y,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,0,0,175,N,N,5.78,41,NULL,21.7,14,38 59.48786420N 077 14.36319218W,108,105405,0.006776661355830,-77.237179899599994,38.985057072099998
109,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/1/2008 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0.5,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,0,0,0,0,55,N,N,6.37,99,NULL,22.4,19.2,38 59.48786420N 077 14.36319218W,109,105405,0.006776661355830,-77.237179899599994,38.985057072099998
110,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/1/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2,3,0,Y,8,31,1,5,NULL,NULL,NULL,NULL,NULL,0,2,10,65,23,0,N,N,6.07,48,NULL,23.1,15.6,38 59.48786420N 077 14.36319218W,110,105405,0.006776661355830,-77.237179899599994,38.985057072099998
111,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/3/2009 0:00:00,2,NULL,NULL,NULL,NULL,NULL,6,2,8,Y,NULL,28,1,NULL,NULL,NULL,NULL,NULL,71,4,4,7,93,76,128,N,Y,6.38,59,NULL,21,17.3,38 59.48786420N 077 14.36319218W,111,105405,0.006776661355830,-77.237179899599994,38.985057072099998
112,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/4/2010 0:00:00,1,NULL,NULL,NULL,NULL,NULL,4,4,3,Y,11,28,NULL,NULL,5,NULL,NULL,NULL,43,2,NULL,13,125,90,27,N,Y,5.62,-99,NULL,26.5,19,38 59.48786420N 077 14.36319218W,112,105405,0.006776661355830,-77.237179899599994,38.985057072099998
113,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/6/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1,3,2,Y,9,9,21,NULL,8,NULL,NULL,NULL,19,NULL,14,1,120,33,21,N,Y,NULL,-99,NULL,33.1,16.4,38 59.48786420N 077 14.36319218W,113,105405,0.006776661355830,-77.237179899599994,38.985057072099998
114,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/22/2011 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,10,24,Y,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,99,0,13,0,0,57,43,N,Y,7.5,53,NULL,27.4,21.1,38 59.48786420N 077 14.36319218W,114,105405,0.006776661355830,-77.237179899599994,38.985057072099998
115,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/27/2011 0:00:00,2,PRUB,juvenile,1,0,0,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,Y,NULL,NULL,NULL,NULL,29.9,38 59.48786420N 077 14.36319218W,115,105405,0.006776661355830,-77.237179899599994,38.985057072099998
116,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/22/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,1,1.5,NULL,Y,4,9,3,NULL,NULL,NULL,NULL,NULL,84,0,2,13,168,30,50,N,N,6.6,50,NULL,26.5,13.9,38 59.48786420N 077 14.36319218W,116,105405,0.006776661355830,-77.237179899599994,38.985057072099998
117,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/25/2012 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,27.7,NULL,38 59.48786420N 077 14.36319218W,117,105405,0.006776661355830,-77.237179899599994,38.985057072099998
118,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/28/2013 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,25.8,NULL,38 59.48786420N 077 14.36319218W,118,105405,0.006776661355830,-77.237179899599994,38.985057072099998
119,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/25/2013 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,N,NULL,NULL,NULL,17.9,NULL,38 59.48786420N 077 14.36319218W,119,105405,0.006776661355830,-77.237179899599994,38.985057072099998
120,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/22/2014 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.6,3.7,3.1,Y,1,2,17,28,2,5,NULL,NULL,45,1,6,8,15,39,59,N,N,7,45,NULL,22.3,15.8,38 59.48786420N 077 14.36319218W,120,105405,0.006776661355830,-77.237179899599994,38.985057072099998
121,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,8/7/2014 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1.6,3.7,2.2,Y,23,6,21,2,3,NULL,NULL,NULL,45,0,12,3,49,147,57,N,Y,7,44,NULL,22.2,16.4,38 59.48786420N 077 14.36319218W,121,105405,0.006776661355830,-77.237179899599994,38.985057072099998
122,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/30/2015 0:00:00,1,PRUB,larva,1,1,1,40.5,6,2.1,Y,NULL,12,18,2,1,NULL,NULL,NULL,45,7,0,8,91,370,76,N,N,7.7,50,NULL,22.4,15.5,38 59.48786420N 077 14.36319218W,122,105405,0.006776661355830,-77.237179899599994,38.985057072099998
123,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/30/2015 0:00:00,1,PCIN,adult,0,1,0,40.5,6,2.1,Y,NULL,12,18,2,1,NULL,NULL,NULL,45,7,0,8,91,370,76,N,N,7.7,50,NULL,22.4,15.5,38 59.48786420N 077 14.36319218W,123,105405,0.006776661355830,-77.237179899599994,38.985057072099998
124,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/21/2016 0:00:00,1,DFUS,adult,0,1,0,4,8.5,6.3,Y,27,NULL,NULL,1,4,NULL,NULL,NULL,44,4,8,3,85,90,74,N,Y,6.8,50,NULL,26.7,17.6,38 59.48786420N 077 14.36319218W,124,105405,0.006776661355830,-77.237179899599994,38.985057072099998
125,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,6/21/2016 0:00:00,1,PRUB,larva,0,1,1,4,8.5,6.3,Y,27,NULL,NULL,1,4,NULL,NULL,NULL,44,4,8,3,85,90,74,N,Y,6.8,50,NULL,26.7,17.6,38 59.48786420N 077 14.36319218W,125,105405,0.006776661355830,-77.237179899599994,38.985057072099998
126,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/26/2016 0:00:00,2,PRUB,larva,2,0,0,0,5.5,1.9,Y,8,2,NULL,1,2,NULL,NULL,NULL,57,1,11,1,0,81,58,N,Y,6.6,64,NULL,32,23.6,38 59.48786420N 077 14.36319218W,126,105405,0.006776661355830,-77.237179899599994,38.985057072099998
127,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/26/2016 0:00:00,2,EBIS,adult,0,1,0,0,5.5,1.9,Y,8,2,NULL,1,2,NULL,NULL,NULL,57,1,11,1,0,81,58,N,Y,6.6,64,NULL,32,23.6,38 59.48786420N 077 14.36319218W,127,105405,0.006776661355830,-77.237179899599994,38.985057072099998
128,C & O Canal National Historic Park,COST22-1,38.991472199999997,-77.239388899999994,15m,7/27/2017 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,27.2,-99,38 59.48786420N 077 14.36319218W,128,105405,0.006776661355830,-77.237179899599994,38.985057072099998
129,C & O Canal National Historic Park,COST22-2,38.991472199999997,-76.760611200000000,15m,7/5/2005 0:00:00,1,PRUB,adult,1,NULL,NULL,2,1.5,2,Y,31,60,9,NULL,NULL,NULL,NULL,NULL,NULL,3,2,10,28,25,26,N,N,7.01,NULL,NULL,23,14.7,38 59.48786312N 076 45.63653913W,129,103317,0.006835357367210,-76.767204047400000,38.993260845499996
130,C & O Canal National Historic Park,COST22-2,38.991472199999997,-76.760611200000000,15m,7/27/2005 0:00:00,2,NULL,NULL,NULL,NULL,NULL,5,7,3,Y,NULL,37,51,NULL,9,NULL,NULL,NULL,NULL,10,1,4,28,26,90,N,N,6.18,53,NULL,26.5,14.7,38 59.48786312N 076 45.63653913W,130,103317,0.006835357367210,-76.767204047400000,38.993260845499996
131,C & O Canal National Historic Park,COST22-2,38.991472199999997,-76.760611200000000,15m,6/13/2006 0:00:00,5,PRUB,larva,1,0,0,3,2,1,Y,13,12,15,5,NULL,NULL,NULL,NULL,55,1,11,3,80,50,17,N,Y,4.97,37,NULL,20.7,18.1,38 59.48786312N 076 45.63653913W,131,103317,0.006835357367210,-76.767204047400000,38.993260845499996
132,C & O Canal National Historic Park,COST22-2,38.991472199999997,-76.760611200000000,15m,7/17/2006 0:00:00,6,DFUS,adult,2,0,0,1.5,2.5,3.5,Y,55,4,7,2,NULL,NULL,NULL,NULL,32,0,9,6,44,18,32,N,Y,5.75,87,NULL,22.5,16.5,38 59.48786312N 076 45.63653913W,132,103317,0.006835357367210,-76.767204047400000,38.993260845499996
133,C & O Canal National Historic Park,COST22-2,38.991472199999997,-76.760611200000000,15m,7/17/2006 0:00:00,6,PRUB,adult,1,0,0,1.5,2.5,3.5,Y,55,4,7,2,NULL,NULL,NULL,NULL,32,0,9,6,44,18,32,N,Y,5.75,87,NULL,22.5,16.5,38 59.48786312N 076 45.63653913W,133,103317,0.006835357367210,-76.767204047400000,38.993260845499996
134,C & O Canal National Historic Park,COST22-2,38.991472199999997,-76.760611200000000,15m,7/17/2006 0:00:00,6,BAME,adult,NULL,NULL,NULL,1.5,2.5,3.5,Y,55,4,7,2,NULL,NULL,NULL,NULL,32,0,9,6,44,18,32,N,Y,5.75,87,NULL,22.5,16.5,38 59.48786312N 076 45.63653913W,134,103317,0.006835357367210,-76.767204047400000,38.993260845499996
